#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xwininfo,"allows querying information about windows."
#,xorg-xinit,"starts the graphical server."
,xcompmgr,"is for transparency and removing screen-tearing."
#,xorg-xprop,"is a tool for detecting window properties."
,libx11-xcb-dev,"required."
,libxft-dev,"required."
,libxcb-res0-dev,"required."
,libharfbuzz-dev,"required."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
#,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
#A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
#,mpd,"is a lightweight music daemon."
#,mpc,"is a terminal interface for mpd."
#,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
#,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
#,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system."
,pulsemixer,"is an audio controler."
,pavucontrol,"is an audio GUI"
#,pamixer,"is a command-line audio interface."
,pavucontrol,"is a Graphical audio interface"
#A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
#,abook,"is an offline addressbook usable by neomutt."
,socat,"is a socket utility."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
#,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
G,https://github.com/VoxFlow/slstatus.git,"serves as the status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/VoxFlow/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dwm.git,slock,"allows you to lock your computer, and quickly unlock with your password."
#,osspd-alsa,"is an audio interface with ALSA."
,libx11-dev,"needed for compiling"
,libxft-dev,"needed for compiling"
,libxinerama-dev,"needed for compiling"
,libpulse-dev,"needed for pamixer"
,libboost-program-options-dev,"needed for pamixer"
,arandr,"is a UI for screen adjustment."
,atool,"manages and gives information about archives."
,bc,"is used for a dropdown calculator."
,build-essential,"c compiler and utils"
#,calcurse,"is a lightweight terminal-based calendar."
#,docx2txt,"enables .docx file previews in vifm."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,ed,"is the standard editor!"
,exfat-utils,"allows management of FAT drives."
#,ffmpeg,"can record and splice video and audio on the command line."
,fonts-inconsolata,"is the monospace font of LARBS."
,fonts-joypixels,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
,fonts-linuxlibertine,"provides the sans and serif fonts for LARBS."
,fonts-noto-color-emoji,"emoji fonts"
,fonts-symbola,"provides unicode and emoji symbols."
,fzf,"is a fuzzy finder tool."
,git,"git utils"
,gnome-keyring,"serves as the system keyring."
,highlight,"can highlight code output."
,htop,"htop"
,groff,"groff"
#,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,jmtpfs,"enables the mounting of cell phones."
,libnotify4,"allows desktop notifications."
,locate,"utility for locating files"
,maim,"can take quick screenshots at your request."
,materia-gtk-theme,"Material Design theme for GNOME/GTK+ based desktop environments."
#,mc,"midnight commander"
#,mediainfo,"shows audio and video information and is used by vifm as well."
#,mpc,"is a terminal interface for mpd."
#,mpd,"is a lightweight music daemon."
#,mpv,"is the patrician's choice video player."
#,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
#,neovim,"an tidier vim with some useful features"
,network-manager,"does exactly what it sounds like."
#,newsboat,"is a terminal RSS client."
,ntfs-3g,"allows accessing NTFS partitions."
#,odt2txt,"enables .odt file previews in vifm."
,poppler-utils,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
#,python-pip,"pip utils"
#,python3-pip,"pip utils"
,sxhkd,"binds key."
,sxiv,"is a minimalist image viewer."
,task-spooler,"queues commands or files for download."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,tree,"lists directory contents like trees. Used by vifm."
,unclutter,"hides an inactive mouse."
,unrar-free,"extracts rar's."
,unzip,"unzips zips."
,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,x11-utils,"allows querying information about windows."
,xbacklight,"enables changing screen brightness levels."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
#,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xinit,"starts the graphical server."
,xserver-xorg-core,"is the graphical server."
,xwallpaper,"sets the wallpaper."
#,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-poppler,"allows mupdf pdf compatibility in zathura."
,zathura-ps,"allows mupdf pdf compatibility in zathura."
,poppler-data,"allows mupdf pdf compatibility in zathura."
,firefox,"firefox"
,slock,"allows you to lock your computer, and quickly unlock with your password."
#,gimp,"gimp"
#,transmission-cli,"torrent-client"
#,qrencode,"qr generator"
